name,value,date
湖北,41,1月11日
湖北,41,1月12日
湖北,41,1月13日
湖北,41,1月14日
湖北,41,1月15日
湖北,41,1月16日
湖北,41,1月17日
湖北,45,1月18日
湖北,62,1月19日
湖北,198,1月20日
湖北,270,1月21日
湖北,444,1月22日
湖北,444,1月23日
湖北,549,1月24日
湖北,760,1月25日
湖北,1052,1月26日
湖北,1423,1月27日
湖北,2714,1月28日
湖北,3554,1月29日
湖北,4586,1月30日
湖北,5806,1月31日
湖北,7153,2月1日
湖北,9074,2月2日
湖北,11177,2月3日
湖北,13522,2月4日
湖北,16678,2月5日
湖北,19665,2月6日
湖北,22112,2月7日
湖北,24953,2月8日
湖北,27100,2月9日
湖北,29658,2月10日
湖北,31755,2月11日
湖北,33393,2月12日
湖北,48233,2月13日
湖北,52039,2月14日
湖北,54459,2月15日
湖北,56307,2月16日
湖北,58251,2月17日
湖北,60076,2月18日
湖北,61822,2月19日
湖北,62876,2月20日
湖北,63507,2月21日
湖北,63873,2月22日
湖北,64503,2月23日
湖北,64901,2月24日
湖北,65400,2月25日
湖北,65801,2月26日
湖北,66210,2月27日
湖北,66528,2月28日
湖北,66951,2月29日
湖北,67521,3月1日
湖北,67717,3月2日
湖北,67831,3月3日
湖北,67946,3月4日
湖北,68080,3月5日
湖北,68206,3月6日
湖北,68280,3月7日
湖北,68321,3月8日
湖北,68357,3月9日
湖北,68374,3月10日
湖北,68387,3月11日
湖北,68395,3月12日
湖北,68400,3月13日
湖北,68404,3月14日
湖北,68408,3月15日
湖北,68412,3月16日
湖北,68413,3月17日
湖北,68414,3月18日
湖北,68414,3月19日
湖北,68414,3月20日
湖北,68414,3月21日
湖北,68414,3月22日
湖北,68414,3月23日
湖北,68415,3月24日
湖北,68415,3月25日
湖北,68415,3月26日
湖北,68415,3月27日
泰国,2,1月17日
泰国,4,1月22日
泰国,5,1月24日
泰国,6,1月25日
泰国,7,1月26日
泰国,8,1月27日
泰国,14,1月28日
泰国,19,1月31日
泰国,25,2月4日
泰国,32,2月8日
泰国,33,2月11日
泰国,34,2月16日
泰国,35,2月17日
泰国,37,2月25日
泰国,40,2月26日
泰国,41,2月28日
泰国,42,2月29日
泰国,42,3月1日
泰国,43,3月2日
泰国,47,3月5日
泰国,48,3月6日
泰国,50,3月7日
泰国,53,3月10日
泰国,59,3月11日
泰国,70,3月12日
泰国,75,3月13日
泰国,82,3月14日
泰国,114,3月15日
泰国,147,3月16日
泰国,177,3月17日
泰国,212,3月18日
泰国,272,3月19日
泰国,322,3月20日
泰国,599,3月22日
泰国,721,3月23日
泰国,827,3月24日
泰国,934,3月25日
泰国,1045,3月26日
泰国,1136,3月27日
日本,1,1月18日
日本,2,1月24日
日本,3,1月25日
日本,4,1月26日
日本,7,1月28日
日本,8,1月29日
日本,13,1月30日
日本,17,1月31日
日本,20,2月2日
日本,33,2月5日
日本,33,2月6日
日本,34,2月9日
日本,36,2月12日
日本,37,2月13日
日本,41,2月14日
日本,49,2月15日
日本,61,2月16日
日本,67,2月17日
日本,73,2月18日
日本,81,2月19日
日本,93,2月20日
日本,101,2月21日
日本,113,2月22日
日本,140,2月23日
日本,152,2月24日
日本,165,2月25日
日本,210,2月27日
日本,236,2月28日
日本,248,2月29日
日本,264,3月1日
日本,282,3月2日
日本,287,3月3日
日本,339,3月5日
日本,368,3月6日
日本,435,3月7日
日本,502,3月8日
日本,522,3月9日
日本,559,3月10日
日本,698,3月12日
日本,739,3月13日
日本,794,3月14日
日本,826,3月15日
日本,843,3月16日
日本,888,3月17日
日本,927,3月18日
日本,964,3月19日
日本,1024,3月20日
日本,1026,3月21日
日本,1068,3月22日
日本,1127,3月23日
日本,1148,3月24日
日本,1285,3月25日
日本,1406,3月26日
日本,1511,3月27日
北京,5,1月20日
北京,10,1月21日
北京,14,1月22日
北京,22,1月23日
北京,36,1月24日
北京,39,1月25日
北京,67,1月26日
北京,80,1月27日
北京,91,1月28日
北京,111,1月29日
北京,114,1月30日
北京,139,1月31日
北京,168,2月1日
北京,188,2月2日
北京,215,2月3日
北京,231,2月4日
北京,256,2月5日
北京,277,2月6日
北京,300,2月7日
北京,317,2月8日
北京,329,2月9日
北京,340,2月10日
北京,345,2月11日
北京,356,2月12日
北京,370,2月13日
北京,376,2月14日
北京,379,2月15日
北京,384,2月16日
北京,385,2月17日
北京,391,2月18日
北京,397,2月19日
北京,399,2月20日
北京,400,2月21日
北京,403,2月22日
北京,403,2月23日
北京,403,2月24日
北京,405,2月25日
北京,405,2月26日
北京,415,2月27日
北京,415,2月28日
北京,416,2月29日
北京,418,3月1日
北京,419,3月2日
北京,419,3月3日
北京,422,3月4日
北京,423,3月5日
北京,427,3月6日
北京,431,3月7日
北京,433,3月8日
北京,433,3月9日
北京,434,3月10日
北京,440,3月11日
北京,440,3月12日
北京,441,3月13日
北京,442,3月14日
北京,447,3月15日
北京,457,3月16日
北京,461,3月17日
北京,474,3月18日
北京,485,3月19日
北京,496,3月20日
北京,509,3月21日
北京,519,3月22日
北京,542,3月23日
北京,559,3月24日
北京,564,3月25日
北京,570,3月26日
北京,573,3月27日
广东,14,1月20日
广东,17,1月21日
广东,26,1月22日
广东,32,1月23日
广东,53,1月24日
广东,78,1月25日
广东,98,1月26日
广东,151,1月27日
广东,188,1月28日
广东,241,1月29日
广东,311,1月30日
广东,412,1月31日
广东,520,2月1日
广东,604,2月2日
广东,725,2月3日
广东,797,2月4日
广东,870,2月5日
广东,944,2月6日
广东,1035,2月7日
广东,1095,2月8日
广东,1131,2月9日
广东,1151,2月10日
广东,1177,2月11日
广东,1219,2月12日
广东,1241,2月13日
广东,1261,2月14日
广东,1294,2月15日
广东,1316,2月16日
广东,1322,2月17日
广东,1328,2月18日
广东,1331,2月19日
